level,new_taxa,timepoint,p.value,Control,Treated
family,Devosiaceae,28,0.0233663398019641,0.11795375,3.38387
family,Burkholderiaceae,21,0.0235623799950009,52.849405,27.52684375
family,Sporolactobacillaceae,0,0.0238126613609911,0,2.15585
family,Corynebacteriaceae,21,0.0238938827848567,52.27736,26.82731625
family,67-14,28,0.0241697594663303,0,1.0907075
family,Saccharimonadaceae,28,0.0263528285895327,4.38684,12.686155
family,Christensenellaceae,28,0.0264554668910708,24.14967875,59.889665
family,Colwelliaceae,28,0.0271055460934342,1.81352875,0.393325
family,Methylococcaceae,8,0.0280808042178661,0,0.73480875
family,Acetobacteraceae,28,0.0285249158226031,4.167155,0.419355
family,F082,28,0.0295729891611275,7.67451375,24.47112375
family,uncultured Kiritimatiellaeota bacterium,0,0.0296580855276322,2.697125,0.5249625
family,Shewanellaceae,21,0.0309781962797752,16.1654825,10.05226125
family,vadinBE97,28,0.0320218905654683,1.7668275,0
family,Bifidobacteriaceae,28,0.0323184435889045,6.0471475,14.4377075
family,Bacteroidales UCG-001,28,0.0325694346558516,0.476475,2.9781
family,Gerbera hybrid cultivar,0,0.0328987631780488,0.96720125,2.4716
family,Methanobacteriaceae,28,0.0333739399582496,4.91889125,16.69443
family,Prevotellaceae,21,0.0352916869367277,60.414445,112.2142775
family,Other,28,0.0355640375255342,0.117292592592593,0.331128101851852
family,Xanthomonadaceae,0,0.0356534830674847,8.06648875,17.63599375
family,67-14,8,0.0356781787397627,0.1321625,3.5959625
family,Listeriaceae,28,0.0419617931689733,1.745475,5.74409625
family,Nocardiaceae,21,0.042897644721374,9.843105,3.26134875
family,Pseudomonadaceae,21,0.043785990320126,171.0139,109.16044125
family,Lachnospiraceae,28,0.0455094085729072,77.73273,177.099425
family,Rikenellaceae,28,0.0456711385073174,42.92280375,93.44047125
family,Porphyromonadaceae,8,0.045729899075186,1.4033375,10.01100875
family,Nocardioidaceae,21,0.0471671250549678,37.901605,14.3804475
family,Synergistaceae,28,0.0479270366991039,4.84952875,9.87874125
family,Diplorickettsiaceae,21,0.0479920843722459,1.948175,0.6067625
family,Anaeroplasmataceae,21,0.048676797732771,0.2280875,1.29555
family,Aeromonadaceae,21,0.0487461506082211,10.7823025,3.25514875
genus,Lachnospiraceae FCS020 group,28,0.000292612150415017,1.67611875,9.94057375
genus,Other,28,0.00101349199482391,0.312562953539823,0.616564336283186
genus,Achromobacter,21,0.00237226154652124,13.5742325,5.1122875
genus,Romboutsia,28,0.00300359008093637,6.6994225,16.89553625
genus,uncultured,28,0.00400533236884258,0.732697961309524,1.21784413690476
genus,uncultured bacterium,28,0.00435642528711493,0.8076196875,1.556786015625
genus,Microbacterium,8,0.00460312433066838,1.7845025,6.32734875
genus,Paenibacillus,8,0.00489827342653544,0.33023875,1.9487525
genus,Catenovulum,28,0.00582748585187626,0,2.4152875
genus,Delftia,0,0.00748394014309286,0.128525,2.31582375
genus,Chelatococcus,21,0.00748746740103596,2.056945,0.49618625
genus,Roseburia,28,0.00783249813567133,0.7263525,4.3151375
genus,Porphyromonas,28,0.0082776879348742,0.1999875,7.00743125
genus,HIMB11,8,0.00879758057479083,0.1442625,1.25459625
genus,[Eubacterium] coprostanoligenes group,28,0.00881868679585077,13.51353,56.73890125
genus,Pyramidobacter,28,0.00960159910282104,1.06401625,5.84483
genus,Paraclostridium,28,0.00966717020574894,0.4835475,2.6589375
genus,Sphingobium,21,0.00972047283253954,11.857555,5.35748625
genus,Aerosphaera,0,0.0102991200731667,0,1.883775
genus,Lachnospiraceae UCG-008,21,0.0116681060413041,0.2280875,3.52686
genus,Fusobacterium,0,0.0122058346928338,3.0335975,10.88016875
genus,Prevotella 7,28,0.014082708173557,4.54445,20.38433875
genus,Roseomonas,28,0.0151653446091539,3.50619,0.322475
genus,uncultured Paludibacter sp.,28,0.0156290933893511,0.11795375,1.288525
genus,Clostridioides,28,0.0158253912493915,3.06364125,6.91501375
genus,Lachnospiraceae UCG-008,0,0.0158634042788536,2.07284,0.4773375
genus,Tectona grandis,8,0.0160971330455224,0.1330875,2.3929375
genus,Shewanella,21,0.0170436542476427,15.246275,9.39331125
genus,[Ruminococcus] gauvreauii group,28,0.0173684121849101,1.56154375,8.0216025
genus,Mycobacterium,28,0.0174367674972087,1.64435375,10.09927125
genus,Ruminococcus 1,28,0.0177332781965239,0.80053,6.46355125
genus,Kocuria,8,0.0179114729472857,9.46286375,19.9088925
genus,Fusibacter,28,0.0200207857585516,0,0.4288875
genus,Brachybacterium,0,0.020898659923212,0.415925,3.357975
genus,Sphingobium,28,0.0220690268584619,9.1334125,3.0908725
genus,Ruminococcaceae UCG-008,0,0.0223004088409113,1.1617125,0.1289125
genus,Lactobacillus,28,0.0227329326835047,14.41111375,28.99269375
genus,Sporacetigenium,28,0.0227750990460637,0.09324,0.86417625
genus,Eisenbergiella,0,0.0228817265220085,0.44689875,0
genus,Succinivibrionaceae UCG-001,28,0.0235075488461813,6.62119125,19.0212725
genus,Desulfovibrio,28,0.0237588770614222,1.0025625,3.7357
genus,Salipaludibacillus,0,0.0238126613609911,0,2.15585
genus,Tetrasphaera,0,0.0247286926364622,1.220725,3.82127375
genus,Enterobacter,8,0.0248003434839816,0,1.5592875
genus,Lachnospiraceae UCG-004,21,0.0248938656393124,0.1106925,2.100035
genus,Neomicrococcus,8,0.0251748269391042,0.58820125,0
genus,uncultured rumen bacterium,28,0.0258564722186113,0.603586375,1.608642625
genus,Rhodococcus,0,0.0264272610614924,1.20685125,4.78737625
genus,Christensenellaceae R-7 group,28,0.0266444673015438,24.14967875,59.792785
genus,Kocuria,21,0.0278685733166006,10.2781125,6.427835
genus,Methanosphaera,0,0.0279314972507624,4.900125,0.6245125
genus,Planomicrobium,28,0.0279406738595018,0.4674875,2.4969625
genus,Methyloparacoccus,8,0.0280808042178661,0,0.73480875
genus,Methylobacterium,21,0.0282400640897235,82.9419025,47.28986125
genus,Methanobrevibacter,28,0.0286217805735077,4.15304125,14.5256775
genus,Prevotellaceae UCG-003,28,0.0295492586256644,4.52167875,12.3111825
genus,Prevotellaceae UCG-001,21,0.030028683223952,3.24968,10.47191
genus,Anaerovorax,28,0.0311969888237034,0,2.02874
genus,Catenuloplanes,8,0.0321926823560521,0,1.995075
genus,Allobaculum,8,0.0329112808303288,0,0.61622375
genus,Clostridium sensu stricto 3,8,0.0341809351556827,0.1330875,0.76313625
genus,Bifidobacterium,28,0.0351813780455915,6.0471475,14.1041575
genus,Micromonospora,21,0.0355686708480012,1.229575,0
genus,Thalassotalea,28,0.0356033051302777,1.40711625,0.393325
genus,Stenotrophomonas,0,0.0372150717830653,6.40465125,13.57424875
genus,Ferruginibacter,8,0.0376213187625033,0.446875,3.9648325
genus,Bacillus,0,0.0379760890722878,11.3250075,18.62132
genus,Prevotellaceae UCG-004,21,0.0388781965001073,1.8527425,6.8533875
genus,Actinoplanes,28,0.0400077864040629,0,0.690155
genus,Devosia,28,0.0403592148102951,0.11795375,3.0785375
genus,Anaerococcus,28,0.0411534239760446,1.365715,8.974415
genus,Ruminococcaceae UCG-009,21,0.0412876248318821,2.470905,10.39041125
genus,Terrisporobacter,28,0.0413527798005114,2.89921125,8.93331375
genus,Turicibacter,28,0.0414691847087758,5.67118375,13.50287125
genus,Cellulosilyticum,21,0.0415419400546508,0.923865,4.72677375
genus,Brochothrix,28,0.0419617931689733,1.745475,5.74409625
genus,Pseudomonas,21,0.0425203864442236,170.9032075,108.41984125
genus,Ruminiclostridium,0,0.0426849823520787,3.8532125,0.71963125
genus,Rikenellaceae RC9 gut group,28,0.0454110743987592,29.91816375,67.08337375
genus,Porphyromonas,8,0.045729899075186,1.4033375,10.01100875
genus,Luteitalea,21,0.0461443265237115,2.89845,0.5451375
genus,Rikenellaceae RC9 gut group,21,0.0471523581431366,28.8362975,60.8068275
genus,Ulvibacter,28,0.0473589109428313,0.11795375,0.62022625
genus,Corynebacterium 1,21,0.0476404457192944,36.1333825,19.07380625
genus,Rickettsiella,21,0.0479920843722459,1.948175,0.6067625
genus,Harryflintia,21,0.0480854348607167,0.3887,1.69985
genus,Luteimonas,21,0.0482742978661714,3.832595,0.71781125
genus,Anaeroplasma,21,0.048676797732771,0.2280875,1.29555
genus,Aeromonas,21,0.0487461506082211,10.7823025,3.25514875
genus,Rhodoglobus,21,0.0487494037823815,1.1645125,0.0915
genus,Aliivibrio,28,0.0497817262740852,2.683365,8.1418875
